,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,spotPrice,timetoMaturity
31,SPXW260320C06400000,2026-03-13 19:46:32+00:00,6400.0,259.38,290.5,309.1,0.0,0.0,59.0,80.0,0.5166903189849854,True,REGULAR,USD,^SPX,6632.18994140625,7
32,SPX260320C06440000,2026-03-06 20:58:01+00:00,6440.0,360.63,253.7,269.9,0.0,0.0,2.0,137.0,0.5087863452911378,True,REGULAR,USD,^SPX,6632.18994140625,7
33,SPX260320C06450000,2026-03-12 17:31:45+00:00,6450.0,283.15,247.4,259.0,0.0,0.0,7.0,4259.0,0.4935277088165284,True,REGULAR,USD,^SPX,6632.18994140625,7
34,SPX260320C06470000,2026-03-12 18:19:36+00:00,6470.0,261.21,228.5,241.6,0.0,0.0,2.0,143.0,0.478795495300293,True,REGULAR,USD,^SPX,6632.18994140625,7
35,SPXW260320C06510000,2026-03-13 19:34:23+00:00,6510.0,179.39,197.4,212.4,0.0,0.0,4.0,58.0,0.4663825945281983,True,REGULAR,USD,^SPX,6632.18994140625,7
36,SPXW260320C06520000,2026-03-13 19:31:32+00:00,6520.0,175.74,189.4,204.2,0.0,0.0,6.0,55.0,0.45945517356872556,True,REGULAR,USD,^SPX,6632.18994140625,7
37,SPX260320C06550000,2026-03-13 19:58:02+00:00,6550.0,146.0,164.6,173.4,0.0,0.0,105.0,1888.0,0.41637241348266596,True,REGULAR,USD,^SPX,6632.18994140625,7
38,SPXW260320C06560000,2026-03-16 09:32:05+00:00,6560.0,146.3,157.7,172.5,-15.819992,-9.7582,2.0,86.0,0.4328593701934814,True,REGULAR,USD,^SPX,6632.18994140625,7
39,SPX260320C06570000,2026-03-09 13:50:38+00:00,6570.0,184.78,148.8,161.7,0.0,0.0,3.0,114.0,0.4159985768890381,True,REGULAR,USD,^SPX,6632.18994140625,7
40,SPXW260320C06575000,2026-03-16 05:41:13+00:00,6575.0,146.3,148.2,160.8,11.100006,8.210064,3.0,84.0,0.42233091102600095,True,REGULAR,USD,^SPX,6632.18994140625,7
41,SPXW260320C06600000,2026-03-16 07:34:40+00:00,6600.0,124.8,135.0,135.6,7.0,5.942275,8.0,461.0,0.3846191909790039,True,REGULAR,USD,^SPX,6632.18994140625,7
42,SPXW260320C06610000,2026-03-16 10:06:25+00:00,6610.0,113.0,127.3,127.9,2.7200012,2.4664502,4.0,78.0,0.37674573455810545,True,REGULAR,USD,^SPX,6632.18994140625,7
43,SPXW260320C06625000,2026-03-13 20:02:29+00:00,6625.0,101.8,117.1,117.6,0.0,0.0,94.0,127.0,0.36823904472351077,True,REGULAR,USD,^SPX,6632.18994140625,7
44,SPX260320C06630000,2026-03-16 11:19:30+00:00,6630.0,108.0,109.1,110.2,17.0,18.681318,12.0,2549.0,0.35237769210815423,True,REGULAR,USD,^SPX,6632.18994140625,7
45,SPX260320C06635000,2026-03-16 11:47:23+00:00,6635.0,106.7,105.5,106.6,17.699997,19.887638,4.0,899.0,0.3486851020812988,False,REGULAR,USD,^SPX,6632.18994140625,7
46,SPXW260320C06640000,2026-03-13 20:03:58+00:00,6640.0,90.03,106.8,107.3,0.0,0.0,237.0,190.0,0.35876343147277834,False,REGULAR,USD,^SPX,6632.18994140625,7
47,SPX260320C06650000,2026-03-16 10:55:41+00:00,6650.0,95.0,95.6,96.7,13.970001,17.24053,76.0,7103.0,0.3397969463348388,False,REGULAR,USD,^SPX,6632.18994140625,7
48,SPX260320C06655000,2026-03-13 19:58:13+00:00,6655.0,80.8,92.5,93.5,0.0,0.0,2888.0,2752.0,0.33691306404113774,False,REGULAR,USD,^SPX,6632.18994140625,7
49,SPX260320C06660000,2026-03-16 11:33:54+00:00,6660.0,85.7,89.4,90.5,7.699997,9.871791,16.0,2943.0,0.3345403460693359,False,REGULAR,USD,^SPX,6632.18994140625,7
50,SPXW260320C06665000,2026-03-16 10:48:06+00:00,6665.0,86.3,91.3,91.8,8.650002,11.13973,4.0,95.0,0.34599958206176756,False,REGULAR,USD,^SPX,6632.18994140625,7
51,SPXW260320C06670000,2026-03-16 06:20:05+00:00,6670.0,84.92,87.8,88.3,7.6800003,9.943035,8.0,130.0,0.34176531044006353,False,REGULAR,USD,^SPX,6632.18994140625,7
52,SPX260320C06675000,2026-03-16 10:38:39+00:00,6675.0,73.54,80.3,81.4,3.1399994,4.4602265,32.0,2787.0,0.3263006823730469,False,REGULAR,USD,^SPX,6632.18994140625,7
53,SPX260320C06680000,2026-03-13 19:58:12+00:00,6680.0,67.8,77.5,78.6,0.0,0.0,985.0,2910.0,0.3240347748565673,False,REGULAR,USD,^SPX,6632.18994140625,7
54,SPXW260320C06685000,2026-03-13 20:08:08+00:00,6685.0,67.8,78.8,79.3,0.0,0.0,74.0,94.0,0.33312892219543466,False,REGULAR,USD,^SPX,6632.18994140625,7
55,SPXW260320C06690000,2026-03-16 11:15:19+00:00,6690.0,74.3,76.2,76.7,8.800003,13.43512,9.0,310.0,0.3312864418411255,False,REGULAR,USD,^SPX,6632.18994140625,7
56,SPX260320C06695000,2026-03-13 18:31:38+00:00,6695.0,67.18,68.7,69.8,0.0,0.0,463.0,2398.0,0.3150398086547851,False,REGULAR,USD,^SPX,6632.18994140625,7
57,SPXW260320C06700000,2026-03-16 10:58:19+00:00,6700.0,69.58,70.7,71.2,9.080002,15.008267,73.0,1111.0,0.32617861328125,False,REGULAR,USD,^SPX,6632.18994140625,7
58,SPX260320C06705000,2026-03-13 19:40:55+00:00,6705.0,53.4,63.0,64.0,0.0,0.0,743.0,2856.0,0.30846333633422846,False,REGULAR,USD,^SPX,6632.18994140625,7
59,SPXW260320C06710000,2026-03-16 11:12:09+00:00,6710.0,64.12,64.9,65.4,9.020004,16.370245,48.0,251.0,0.3194495545959472,False,REGULAR,USD,^SPX,6632.18994140625,7
60,SPXW260320C06715000,2026-03-16 11:06:11+00:00,6715.0,61.57,62.2,62.7,8.150002,15.256461,24.0,197.0,0.31650463775634763,False,REGULAR,USD,^SPX,6632.18994140625,7
61,SPXW260320C06720000,2026-03-16 11:06:11+00:00,6720.0,58.93,59.7,60.1,7.2299995,13.984525,25.0,405.0,0.31374282455444336,False,REGULAR,USD,^SPX,6632.18994140625,7
