,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,ticker,spotPrice,timetoMaturity
30,SPX260320C06570000,2026-03-09 13:50:38+00:00,6570.0,184.78,124.8,126.8,0.0,0.0,3.0,114.0,0.2533415120697021,True,REGULAR,USD,^SPX,6632.18994140625,7
31,SPXW260320C06575000,2026-03-13 19:29:07+00:00,6575.0,135.2,126.8,127.7,-59.910004,-30.70576,41.0,93.0,0.26427432510375976,True,REGULAR,USD,^SPX,6632.18994140625,7
32,SPXW260320C06600000,2026-03-13 19:58:59+00:00,6600.0,117.8,111.2,112.1,-35.800003,-23.307293,325.0,235.0,0.2602803770065307,True,REGULAR,USD,^SPX,6632.18994140625,7
33,SPXW260320C06610000,2026-03-13 19:29:50+00:00,6610.0,110.28,105.2,106.2,-35.990005,-24.605185,38.0,65.0,0.2588575091552735,True,REGULAR,USD,^SPX,6632.18994140625,7
34,SPXW260320C06625000,2026-03-13 20:02:30+00:00,6625.0,101.8,96.5,97.5,-97.83,-49.00566,94.0,84.0,0.2562978728866577,True,REGULAR,USD,^SPX,6632.18994140625,7
35,SPX260320C06630000,2026-03-13 20:29:47+00:00,6630.0,91.0,88.6,90.5,-134.08,-59.56993,3089.0,77.0,0.24402229984283447,True,REGULAR,USD,^SPX,6632.18994140625,7
36,SPX260320C06650000,2026-03-13 20:14:11+00:00,6650.0,81.03,77.6,79.6,-37.72,-31.764212,4062.0,5499.0,0.24043652027130125,False,REGULAR,USD,^SPX,6632.18994140625,7
37,SPX260320C06655000,2026-03-13 19:58:13+00:00,6655.0,80.8,75.0,76.9,-104.47,-56.387974,2888.0,1324.0,0.23929593719482417,False,REGULAR,USD,^SPX,6632.18994140625,7
38,SPX260320C06660000,2026-03-13 19:58:11+00:00,6660.0,78.0,72.4,74.3,-43.199997,-35.643562,4586.0,1119.0,0.2383041258239746,False,REGULAR,USD,^SPX,6632.18994140625,7
39,SPXW260320C06670000,2026-03-13 19:58:08+00:00,6670.0,77.24,72.5,73.4,-31.96,-29.2674,122.0,68.0,0.2478064416885376,False,REGULAR,USD,^SPX,6632.18994140625,7
40,SPX260320C06675000,2026-03-13 19:58:13+00:00,6675.0,70.4,64.9,66.8,-29.599998,-29.599997,897.0,2327.0,0.2353782822799682,False,REGULAR,USD,^SPX,6632.18994140625,7
41,SPX260320C06680000,2026-03-13 19:58:12+00:00,6680.0,67.8,62.5,64.4,-31.699997,-31.859293,985.0,2012.0,0.23441698818206785,False,REGULAR,USD,^SPX,6632.18994140625,7
42,SPXW260320C06685000,2026-03-13 20:08:08+00:00,6685.0,67.8,65.1,66.1,-33.92,-33.34644,74.0,54.0,0.2447890463256836,False,REGULAR,USD,^SPX,6632.18994140625,7
43,SPXW260320C06690000,2026-03-13 20:14:13+00:00,6690.0,65.5,62.8,63.7,-31.900002,-32.75154,277.0,225.0,0.24362176063537597,False,REGULAR,USD,^SPX,6632.18994140625,7
44,SPX260320C06695000,2026-03-13 18:31:38+00:00,6695.0,67.18,55.5,57.4,-25.019997,-27.136656,463.0,2087.0,0.231277523727417,False,REGULAR,USD,^SPX,6632.18994140625,7
45,SPXW260320C06700000,2026-03-13 20:14:29+00:00,6700.0,60.5,58.2,59.1,-30.050003,-33.18609,1671.0,497.0,0.24144740493774414,False,REGULAR,USD,^SPX,6632.18994140625,7
46,SPX260320C06705000,2026-03-13 17:16:35+00:00,6705.0,53.4,51.0,52.9,-36.729996,-40.752243,743.0,2480.0,0.2289543963241577,False,REGULAR,USD,^SPX,6632.18994140625,7
47,SPXW260320C06710000,2026-03-13 20:04:58+00:00,6710.0,55.1,53.8,54.7,-31.700005,-36.52074,294.0,119.0,0.23930356651306148,False,REGULAR,USD,^SPX,6632.18994140625,7
48,SPXW260320C06715000,2026-03-13 20:05:07+00:00,6715.0,53.42,51.7,52.6,-30.349998,-36.230152,157.0,151.0,0.23831556980133056,False,REGULAR,USD,^SPX,6632.18994140625,7
49,SPXW260320C06720000,2026-03-13 20:08:46+00:00,6720.0,51.7,49.5,50.5,-29.100002,-36.01485,438.0,251.0,0.2371902453613281,False,REGULAR,USD,^SPX,6632.18994140625,7
50,SPX260320C06725000,2026-03-13 20:13:32+00:00,6725.0,45.5,42.7,44.5,-30.059998,-39.78295,1989.0,3868.0,0.22428906822204583,False,REGULAR,USD,^SPX,6632.18994140625,7
51,SPX260320C06730000,2026-03-13 19:54:42+00:00,6730.0,44.9,40.7,42.5,-28.220001,-38.59409,358.0,2959.0,0.2230378600311279,False,REGULAR,USD,^SPX,6632.18994140625,7
52,SPX260320C06735000,2026-03-13 20:14:30+00:00,6735.0,40.7,38.8,40.5,-34.969997,-46.21382,389.0,2968.0,0.22162643615722655,False,REGULAR,USD,^SPX,6632.18994140625,7
53,SPXW260320C06740000,2026-03-13 20:14:15+00:00,6740.0,43.33,41.6,42.5,-28.869995,-39.986145,224.0,278.0,0.23241429214477538,False,REGULAR,USD,^SPX,6632.18994140625,7
